name,force,level,mechanic,equipment,primaryMuscles,secondaryMuscles,instructions,category,id,image1,image2
Smith Machine Close-Grip Bench Press,push,beginner,compound,machine,triceps,"chest, shoulders","'Place a flat bench underneath the smith machine. Place the barbell at a height that you can reach when lying down and your arms are almost fully extended. Once the weight you need is selected, lie down on the flat bench. Using a close and pronated grip (palms facing forward) that is around shoulder width, unlock the bar from the rack and hold it straight over you with your arms locked. This will be your starting position.', 'As you breathe in, come down slowly until you feel the bar on your middle chest. Tip: Make sure that as opposed to a regular bench press, you keep the elbows close to the torso at all times in order to maximize triceps involvement.', 'After a second pause, bring the bar back to the starting position as you breathe out and push the bar using your triceps muscles. Lock your arms in the contracted position, hold for a second and then start coming down slowly again. Tip: It should take at least twice as long to go down than to come up.', 'Repeat the movement for the prescribed amount of repetitions.', 'When you are done, lock the bar back in the rack.'",strength,Smith_Machine_Close-Grip_Bench_Press,Smith_Machine_Close-Grip_Bench_Press/0.jpg,Smith_Machine_Close-Grip_Bench_Press/1.jpg
Smith Machine Reverse Calf Raises,push,beginner,isolation,machine,calves,,"'Adjust the barbell on the smith machine to fit your height and align a raised platform right under the bar.', 'Stand on the platform with the heels of your feet secured on top of it with the balls of your feet extending off it. Position your toes facing forward with a shoulder width stance.', 'Now, place your shoulders under the barbell while maintaining the foot positioning described and push the barbell up by extending your hips and knees until your torso is standing erect. The knees should be kept with a slight bend; never locked. This will be your starting position. Tip: The barbell on your back is only for balance purposes.', 'Raise the balls of your feet as you breathe out by extending your toes as high as possible and flexing your calf. Ensure that the knee is kept stationary at all times. There should be no bending at any time. Hold the contracted position for a second before you start to go back down.', 'Slowly go back down to the starting position as you breathe in by lowering the balls of your feet and toes.', 'Repeat for the recommended amount of repetitions.'",strength,Smith_Machine_Reverse_Calf_Raises,Smith_Machine_Reverse_Calf_Raises/0.jpg,Smith_Machine_Reverse_Calf_Raises/1.jpg
Spell Caster,pull,beginner,compound,dumbbell,abdominals,"glutes, shoulders","'Hold a dumbbell in each hand with a pronated grip. Your feet should be wide with your hips and knees extended. This will be your starting position.', 'Begin the movement by pulling both of the dumbbells to one side next to your hip, rotating your torso.', 'Keeping your arms straight and the dumbbells parallel to the ground, rotate your torso to swing the weights to your opposite side.', 'Continue alternating, rotating from one side to the other until the set is complete.'",strength,Spell_Caster,Spell_Caster/0.jpg,Spell_Caster/1.jpg
Squats - With Bands,push,beginner,compound,bands,quadriceps,"calves, glutes, hamstrings, lower back","'To start out, make sure that the exercise band is at an even split between both the left and right side of the body. To do this, use your hands to grab both sides of the band and place both feet in the middle of the band. Your feet should be shoulder width apart from each other.', 'When holding the bands, they should be the same height on each side. You should be using a pronated grip (palms facing forward) and have the handles of the bands next to your face for this exercise. This is the starting position.', 'Slowly start to bend the knees and lower the legs so that your thighs are parallel to the floor while exhaling.', 'Use the heel of your feet to push your body up to the starting position as you exhale.', 'Repeat for the recommended amount of repetitions.'",strength,Squats_-_With_Bands,Squats_-_With_Bands/0.jpg,Squats_-_With_Bands/1.jpg
Standing Biceps Stretch,static,beginner,isolation,other,biceps,"chest, shoulders","'Clasp your hands behind your back with your palms together, straighten arms and then rotate them so your palms face downward.', 'Raise your arms up and hold until you feel a stretch in your biceps.'",stretching,Standing_Biceps_Stretch,Standing_Biceps_Stretch/0.jpg,Standing_Biceps_Stretch/1.jpg
Standing Concentration Curl,pull,beginner,isolation,dumbbell,biceps,forearms,"'Taking a dumbbell in your working hand, lean forward. Allow your working arm to hang perpendicular to the ground with the elbow pointing out. This will be your starting position.', 'Flex the elbow to curl the weight, keeping the upper arm stationary. At the top of the repetition, flex the biceps and pause.', 'Lower the dumbbell back to the starting position.', 'Repeat the movement for the prescribed amount of repetitions.'",strength,Standing_Concentration_Curl,Standing_Concentration_Curl/0.jpg,Standing_Concentration_Curl/1.jpg
Standing Hamstring and Calf Stretch,static,beginner,,other,hamstrings,,"'Being by looping a belt, band, or rope around one foot. While standing, place that foot forward.', 'Bend your back leg, while keeping the front one straight. Now raise the toes of your front foot off of the ground and lean forward.', 'Using the belt, pull on the top of the foot to increase the stretch in the calf. Hold for 10-20 seconds and repeat with the other foot.'",stretching,Standing_Hamstring_and_Calf_Stretch,Standing_Hamstring_and_Calf_Stretch/0.jpg,Standing_Hamstring_and_Calf_Stretch/1.jpg
Standing Low-Pulley Deltoid Raise,push,beginner,isolation,cable,shoulders,forearms,"'Start by standing to the right side of a low pulley row. Use your left hand to come across the body and grab a single handle attached to the low pulley with a pronated grip (palms facing down). Rest your arm in front of you. Your right hand should grab the machine for better support and balance.', 'Make sure that your back is erect and your feet are shoulder width apart from each other. This is the starting position.', 'Begin to use the left hand and come across your body out until it is elevated to shoulder height while exhaling.', 'Feel the contraction at the top for a second and begin to slowly lower the handle back down to the original starting position while inhaling.', 'Repeat for the recommended amount of repetitions.', 'Switch arms and repeat the exercise.'",strength,Standing_Low-Pulley_Deltoid_Raise,Standing_Low-Pulley_Deltoid_Raise/0.jpg,Standing_Low-Pulley_Deltoid_Raise/1.jpg
Standing Palm-In One-Arm Dumbbell Press,push,beginner,compound,dumbbell,shoulders,triceps,"'Start by having a dumbbell in one hand with your arm fully extended to the side using a neutral grip. Use your other arm to hold on to an incline bench to keep your balance.', 'Your feet should be shoulder width apart from each other. Now slowly lift the dumbbell up until you create a 90 degree angle with your arm. Note: Your forearm should be perpendicular to the floor. Continue to maintain a neutral grip throughout the entire exercise.', 'Slowly lift the dumbbell up until your arm is fully extended. This the starting position.', 'While inhaling lower the weight down until your arm is at a 90 degree angle again.', 'Feel the contraction for a second and then lift the weight back up towards the starting position while exhaling. Remember to hold on to the incline bench and keep your feet positioned to keep balance during the exercise.', 'Repeat for the recommended amount of repetitions.', 'Switch arms and repeat the exercise.'",strength,Standing_Palm-In_One-Arm_Dumbbell_Press,Standing_Palm-In_One-Arm_Dumbbell_Press/0.jpg,Standing_Palm-In_One-Arm_Dumbbell_Press/1.jpg
Standing Towel Triceps Extension,push,beginner,isolation,body only,triceps,,"'To begin, stand up with both arms fully extended above the head holding one end of a towel with both hands. Your elbows should be in and the arms perpendicular to the floor with the palms facing each other while your feet should be shoulder width apart from each other. This is the starting position.', 'Now communicate with your partner so that he/she can grip the other side of the towel to apply resistance. Keeping your upper arms close to your head (elbows in) and perpendicular to the floor, lower the resistance in a semicircular motion behind your head until your forearms touch your biceps. Tip: The upper arms should remain stationary and only the forearms should move. Breathe in as you perform this step.', 'Go back to the starting position by using the triceps to raise the towel. Breathe out as you perform this step.', 'Repeat for the recommended amount of repetitions.'",strength,Standing_Towel_Triceps_Extension,Standing_Towel_Triceps_Extension/0.jpg,Standing_Towel_Triceps_Extension/1.jpg
Stomach Vacuum,static,beginner,isolation,body only,abdominals,,"'To begin, stand straight with your feet shoulder width apart from each other. Place your hands on your hips. This is the starting position.', 'Now slowly inhale as much air as possible and then start to exhale as much as possible while bringing your stomach in as much as possible and hold this position. Try to visualize your navel touching your backbone.', 'One isometric contraction is around 20 seconds. During the 20 second hold, try to breathe normally. Then inhale and bring your stomach back to the starting position.', 'Once you have practiced this exercise, try to perform this exercise for longer than 20 seconds. Tip: You can work your way up to 40-60 seconds.', 'Repeat for the recommended amount of sets.'",stretching,Stomach_Vacuum,Stomach_Vacuum/0.jpg,Stomach_Vacuum/1.jpg
Supine Chest Throw,push,beginner,compound,medicine ball,triceps,"chest, shoulders","'This drill is great for chest passes when you lack a partner or a wall of sufficient strength. Lay on the ground on your back with your knees bent.', 'Begin with the ball on your chest, held with both hands on the bottom.', 'Explode up, extending through the elbow to throw the ball directly above you as high as possible.', 'Catch the ball with both hands as it comes down.'",plyometrics,Supine_Chest_Throw,Supine_Chest_Throw/0.jpg,Supine_Chest_Throw/1.jpg
Svend Press,push,beginner,compound,other,chest,"forearms, shoulders, triceps","'Begin in a standing position.', 'Press two lightweight plates together with your hands. Hold the plates together close to your chest to create an isometric contraction in your chest muscles. Your fingers should be pointed forward. This is your starting position.', 'Squeeze the plates between your palms and extend your arms directly out in front of you in a controlled motion.', 'Pause at the top of the motion, and then slowly return to the starting position.'",strength,Svend_Press,Svend_Press/0.jpg,Svend_Press/1.jpg
Torso Rotation,pull,beginner,,exercise ball,abdominals,,"'Stand upright holding an exercise ball with both hands. Extend your arms so the ball is straight out in front of you. This will be your starting position.', 'Rotate your torso to one side, keeping your eyes on the ball as you move. Now, rotate back to the opposite direction. Repeat for 10-20 repetitions.'",stretching,Torso_Rotation,Torso_Rotation/0.jpg,Torso_Rotation/1.jpg
Triceps Pushdown,push,beginner,isolation,cable,triceps,,"'Attach a straight or angled bar to a high pulley and grab with an overhand grip (palms facing down) at shoulder width.', 'Standing upright with the torso straight and a very small inclination forward, bring the upper arms close to your body and perpendicular to the floor. The forearms should be pointing up towards the pulley as they hold the bar. This is your starting position.', 'Using the triceps, bring the bar down until it touches the front of your thighs and the arms are fully extended perpendicular to the floor. The upper arms should always remain stationary next to your torso and only the forearms should move. Exhale as you perform this movement.', 'After a second hold at the contracted position, bring the bar slowly up to the starting point. Breathe in as you perform this step.', 'Repeat for the recommended amount of repetitions.'",strength,Triceps_Pushdown,Triceps_Pushdown/0.jpg,Triceps_Pushdown/1.jpg
Underhand Cable Pulldowns,pull,beginner,compound,cable,lats,"biceps, middle back, shoulders","'Sit down on a pull-down machine with a wide bar attached to the top pulley. Adjust the knee pad of the machine to fit your height. These pads will prevent your body from being raised by the resistance attached to the bar.', 'Grab the pull-down bar with the palms facing your torso (a supinated grip). Make sure that the hands are placed closer than the shoulder width.', 'As you have both arms extended in front of you holding the bar at the chosen grip width, bring your torso back around 30 degrees or so while creating a curvature on your lower back and sticking your chest out. This is your starting position.', 'As you breathe out, pull the bar down until it touches your upper chest by drawing the shoulders and the upper arms down and back. Tip: Concentrate on squeezing the back muscles once you reach the fully contracted position and keep the elbows close to your body. The upper torso should remain stationary as your bring the bar to you and only the arms should move. The forearms should do no other work other than hold the bar.', 'After a second on the contracted position, while breathing in, slowly bring the bar back to the starting position when your arms are fully extended and the lats are fully stretched.', 'Repeat this motion for the prescribed amount of repetitions.'",strength,Underhand_Cable_Pulldowns,Underhand_Cable_Pulldowns/0.jpg,Underhand_Cable_Pulldowns/1.jpg
V-Bar Pullup,pull,beginner,compound,body only,lats,"biceps, middle back, shoulders","'Start by placing the middle of the V-bar in the middle of the pull-up bar (assuming that the pull-up station you are using does not have neutral grip handles). The V-Bar handles will be facing down so that you can hang from the pull-up bar through the use of the handles.', 'Once you securely place the V-bar, take a hold of the bar from each side and hang from it. Stick your chest out and lean yourself back slightly in order to better engage the lats. This will be your starting position.', 'Using your lats, pull your torso up while leaning your head back slightly so that you do not hit yourself with the chin-up bar. Continue until your chest nearly touches the V-bar. Exhale as you execute this motion.', 'After a second hold on the contracted position, slowly lower your body back to the starting position as you breathe in.', 'Repeat for the prescribed number of repetitions.'",strength,V-Bar_Pullup,V-Bar_Pullup/0.jpg,V-Bar_Pullup/1.jpg
Wrist Circles,pull,beginner,isolation,body only,forearms,,"'Start by standing straight with your feet being shoulder width apart from each other. Elevate your arms to the side of you until they are fully extended and parallel to the floor at a height that is evenly aligned with your shoulders. Tip: Your torso and arms should form the letter T: Your palms should be facing down. This is the starting position.', 'Keeping your entire body stationary except for the wrists, begin to rotate both wrists forward in a circular motion. Tip: Pretend that you are trying to draw circles by using your hands as the brush. Breathe normally as you perform this exercise.', 'Repeat for the recommended amount of repetitions.'",stretching,Wrist_Circles,Wrist_Circles/0.jpg,Wrist_Circles/1.jpg
Ab Crunch Machine,pull,intermediate,isolation,machine,abdominals,,"'Select a light resistance and sit down on the ab machine placing your feet under the pads provided and grabbing the top handles. Your arms should be bent at a 90 degree angle as you rest the triceps on the pads provided. This will be your starting position.', 'At the same time, begin to lift the legs up as you crunch your upper torso. Breathe out as you perform this movement. Tip: Be sure to use a slow and controlled motion. Concentrate on using your abs to move the weight while relaxing your legs and feet.', 'After a second pause, slowly return to the starting position as you breathe in.', 'Repeat the movement for the prescribed amount of repetitions.'",strength,Ab_Crunch_Machine,Ab_Crunch_Machine/0.jpg,Ab_Crunch_Machine/1.jpg
Adductor/Groin,static,intermediate,,,adductors,,"'Lie on your back with your feet raised towards the ceiling.', 'Have your partner hold your feet or ankles. Abduct your legs as far as you can. This will be your starting position.', 'Attempt to squeeze your legs together for 10 or more seconds, while your partner prevents you from doing so.', 'Now, relax the muscles in your legs as your partner pushes your feet apart, stretching as far as is comfortable for you. Be sure to let your partner know when the stretch is adequate to prevent overstretching or injury.'",stretching,Adductor_Groin,Adductor_Groin/0.jpg,Adductor_Groin/1.jpg
Alternating Hang Clean,pull,intermediate,compound,kettlebells,hamstrings,"biceps, calves, forearms, glutes, lower back, traps","'Place two kettlebells between your feet. To get in the starting position, push your butt back and look straight ahead.', 'Clean one kettlebell to your shoulder and hold on to the other kettlebell in a hanging position. Clean the kettlebell to your shoulder by extending through the legs and hips as you pull the kettlebell towards your shoulders. Rotate your wrist as you do so.', 'Lower the cleaned kettlebell to a hanging position and clean the alternate kettlebell. Repeat.'",strength,Alternating_Hang_Clean,Alternating_Hang_Clean/0.jpg,Alternating_Hang_Clean/1.jpg
Anterior Tibialis-SMR,static,intermediate,,other,calves,,"'Begin seated on the ground with your legs bent and your feet on the floor.', 'Using a Muscle Roller or a rolling pin, apply pressure to the muscles on the outside of your shins. Work from just below the knee to above the ankle, pausing at points of tension for 10-30 seconds. Repeat on the other leg.'",stretching,Anterior_Tibialis-SMR,Anterior_Tibialis-SMR/0.jpg,Anterior_Tibialis-SMR/1.jpg
Atlas Stone Trainer,pull,intermediate,compound,other,lower back,"biceps, forearms, glutes, hamstrings, quadriceps","This trainer is effective for developing Atlas Stone strength for those who don't have access to stones, and are typically made from bar ends or heavy pipe., 'Begin by loading the desired weight onto the bar. Straddle the weight, wrapping your arms around the implement, bending at the hips.', 'Begin by pulling the weight up past the knees, extending through the hips. As the weight clears the knees, it can be lapped by resting it on your thighs and sitting back, hugging it tightly to your chest.', 'Finish the movement by extending through your hips and knees to raise the weight as high as possible. The weight can be returned to the lap or to the ground for successive repetitions.'",strongman,Atlas_Stone_Trainer,Atlas_Stone_Trainer/0.jpg,Atlas_Stone_Trainer/1.jpg
Barbell Deadlift,pull,intermediate,compound,barbell,lower back,"calves, forearms, glutes, hamstrings, lats, middle back, quadriceps, traps","'Stand in front of a loaded barbell.', 'While keeping the back as straight as possible, bend your knees, bend forward and grasp the bar using a medium (shoulder width) overhand grip. This will be the starting position of the exercise. Tip: If it is difficult to hold on to the bar with this grip, alternate your grip or use wrist straps.', 'While holding the bar, start the lift by pushing with your legs while simultaneously getting your torso to the upright position as you breathe out. In the upright position, stick your chest out and contract the back by bringing the shoulder blades back. Think of how the soldiers in the military look when they are in standing in attention.', 'Go back to the starting position by bending at the knees while simultaneously leaning the torso forward at the waist while keeping the back straight. When the weights on the bar touch the floor you are back at the starting position and ready to perform another repetition.', 'Perform the amount of repetitions prescribed in the program.'",strength,Barbell_Deadlift,Barbell_Deadlift/0.jpg,Barbell_Deadlift/1.jpg
Barbell Guillotine Bench Press,push,intermediate,compound,barbell,chest,"shoulders, triceps","'Using a medium width grip (a grip that creates a 90-degree angle in the middle of the movement between the forearms and the upper arms), lift the bar from the rack and hold it straight over your neck with your arms locked. This will be your starting position.', 'As you breathe in, bring the bar down slowly until it is about 1 inch from your neck.', 'After a second pause, bring the bar back to the starting position as you breathe out and push the bar using your chest muscles. Lock your arms and squeeze your chest in the contracted position, hold for a second and then start coming down slowly again. It should take at least twice as long to go down than to come up.', 'Repeat the movement for the prescribed amount of repetitions.', 'When you are done, place the bar back in the rack.'",strength,Barbell_Guillotine_Bench_Press,Barbell_Guillotine_Bench_Press/0.jpg,Barbell_Guillotine_Bench_Press/1.jpg
Barbell Lunge,push,intermediate,compound,barbell,quadriceps,"calves, glutes, hamstrings","'This exercise is best performed inside a squat rack for safety purposes. To begin, first set the bar on a rack just below shoulder level. Once the correct height is chosen and the bar is loaded, step under the bar and place the back of your shoulders (slightly below the neck) across it.', 'Hold on to the bar using both arms at each side and lift it off the rack by first pushing with your legs and at the same time straightening your torso.', 'Step away from the rack and step forward with your right leg and squat down through your hips, while keeping the torso upright and maintaining balance. Inhale as you go down. Note: Do not allow your knee to go forward beyond your toes as you come down, as this will put undue stress on the knee joint. li>', 'Using mainly the heel of your foot, push up and go back to the starting position as you exhale.', 'Repeat the movement for the recommended amount of repetitions and then perform with the left leg.'",strength,Barbell_Lunge,Barbell_Lunge/0.jpg,Barbell_Lunge/1.jpg
Barbell Step Ups,push,intermediate,compound,barbell,quadriceps,"calves, glutes, hamstrings, quadriceps","'Stand up straight while holding a barbell placed on the back of your shoulders (slightly below the neck) and stand upright behind an elevated platform (such as the one used for spotting behind a flat bench). This is your starting position.', 'Place the right foot on the elevated platform. Step on the platform by extending the hip and the knee of your right leg. Use the heel mainly to lift the rest of your body up and place the foot of the left leg on the platform as well. Breathe out as you execute the force required to come up.', 'Step down with the left leg by flexing the hip and knee of the right leg as you inhale. Return to the original standing position by placing the right foot of to next to the left foot on the initial position.', 'Repeat with the right leg for the recommended amount of repetitions and then perform with the left leg.'",strength,Barbell_Step_Ups,Barbell_Step_Ups/0.jpg,Barbell_Step_Ups/1.jpg
Bent-Arm Barbell Pullover,pull,intermediate,compound,barbell,lats,"chest, lats, shoulders, triceps","'Lie on a flat bench with a barbell using a shoulder grip width.', 'Hold the bar straight over your chest with a bend in your arms. This will be your starting position.', 'While keeping your arms in the bent arm position, lower the weight slowly in an arc behind your head while breathing in until you feel a stretch on the chest.', 'At that point, bring the barbell back to the starting position using the arc through which the weight was lowered and exhale as you perform this movement.', 'Hold the weight on the initial position for a second and repeat the motion for the prescribed number of repetitions.'",strength,Bent-Arm_Barbell_Pullover,Bent-Arm_Barbell_Pullover/0.jpg,Bent-Arm_Barbell_Pullover/1.jpg
Board Press,push,intermediate,compound,barbell,triceps,"chest, forearms, lats, shoulders","Begin by lying on the bench, getting your head beyond the bar if possible. One to five boards, made out of 2x6's, can be screwed together and held in place by a training partner, bands, or just tucked under your shirt., 'Tuck your feet underneath you and arch your back. Using the bar to help support your weight, lift your shoulder off the bench and retract them, squeezing the shoulder blades together. Use your feet to drive your traps into the bench. Maintain this tight body position throughout the movement.', 'You can take a standard bench grip, or shoulder width to focus on the triceps. Pull the bar out of the rack without protracting your shoulders. The bar, wrist, and elbow should stay in line at all times. Focus on squeezing the bar and trying to pull it apart.', 'Lower the bar to the boards, and then drive the bar up with as much force as possible. The elbows should be tucked in until lockout.'",powerlifting,Board_Press,Board_Press/0.jpg,Board_Press/1.jpg
Bodyweight Mid Row,pull,intermediate,compound,other,middle back,"biceps, lats","'Begin by taking a medium to wide grip on a pull-up apparatus with your palms facing away from you. From a hanging position, tuck your knees to your chest, leaning back and getting your legs over your side of the pull-up apparatus. This will be your starting position.', 'Beginning with your arms straight, flex the elbows and retract the shoulder blades to raise your body up until your legs contact the pull-up apparatus.', 'After a brief pause, return to the starting position.'",strength,Bodyweight_Mid_Row,Bodyweight_Mid_Row/0.jpg,Bodyweight_Mid_Row/1.jpg
Brachialis-SMR,static,intermediate,,foam roll,biceps,,"'Lie on your side, with your upper arm against the foam roller. The upper arm should be more or less aligned with your body, with the outside of the bicep pressed against the foam roller.', 'Raise your hips off of the floor, supporting your weight on your arm and on your feet. Hold for 10-30 seconds, and then switch sides.'",stretching,Brachialis-SMR,Brachialis-SMR/0.jpg,Brachialis-SMR/1.jpg
Car Deadlift,pull,intermediate,compound,other,quadriceps,"forearms, glutes, hamstrings, lower back, traps","'This event apparatus typically has neutral grip handles, however some have a straight bar that you can approach like a normal deadlift. The apparatus can be loaded with a vehicle or other heavy objects such as tractor tires or kegs.', 'Center yourself between the handles if you are a strong squatter, or back a couple inches if you are a strong deadlifter. You feet should be about hip width apart. Bend at the hip to grip the handles. With your feet and your grip set, take a big breath and then lower your hips and flex the knees.', 'Look forward with your head, keep your chest up and your back arched, and begin driving through the heels to move the weight upward. As the weight comes up, pull your shoulder blades together as you drive your hips forward.', 'Lower the weight by bending at the hips and guiding it to the floor.'",strongman,Car_Deadlift,Car_Deadlift/0.jpg,Car_Deadlift/1.jpg
Clean,pull,intermediate,compound,barbell,hamstrings,"calves, forearms, glutes, lower back, quadriceps, shoulders, traps","'With a barbell on the floor close to the shins, take an overhand (or hook) grip just outside the legs. Lower your hips with the weight focused on the heels, back straight, head facing forward, chest up, with your shoulders just in front of the bar. This will be your starting position.', '', 'Begin the first pull by driving through the heels, extending your knees. Your back angle should stay the same, and your arms should remain straight. Move the weight with control as you continue to above the knees.', 'Next comes the second pull, the main source of acceleration for the clean. As the bar approaches the mid-thigh position, begin extending through the hips. In a jumping motion, accelerate by extending the hips, knees, and ankles, using speed to move the bar upward. There should be no need to actively pull through the arms to accelerate the weight; at the end of the second pull, the body should be fully extended, leaning slightly back, with the arms still extended.', 'As full extension is achieved, transition into the third pull by aggressively shrugging and flexing the arms with the elbows up and out. At peak extension, aggressively pull yourself down, rotating your elbows under the bar as you do so. Receive the bar in a front squat position, the depth of which is dependent upon the height of the bar at the end of the third pull. The bar should be racked onto the protracted shoulders, lightly touching the throat with the hands relaxed. Continue to descend to the bottom squat position, which will help in the recovery.', 'Immediately recover by driving through the heels, keeping the torso upright and elbows up. Continue until you have risen to a standing position.'",olympic weightlifting,Clean,Clean/0.jpg,Clean/1.jpg
Clean from Blocks,pull,intermediate,compound,barbell,quadriceps,"calves, glutes, hamstrings, shoulders, traps","'With a barbell on boxes or stands of the desired height, take an overhand or hook grip just outside the legs. Lower your hips with the weight focused on the heels, back straight, head facing forward, chest up, with your shoulders just in front of the bar. This will be your starting position.', 'Begin the first pull by driving through the heels, extending your knees. Your back angle should stay the same, and your arms should remain straight with the elbows pointed out.', 'As full extension is achieved, transition into the receiving position by aggressively shrugging and flexing the arms with the elbows up and out. Aggressively pull yourself down, rotating your elbows under the bar as you do so. Receive the bar in a front squat position, the depth of which is dependent upon the height of the bar at the end of the third pull. The bar should be racked onto the protracted shoulders, lightly touching the throat with the hands relaxed. Continue to descend to the bottom squat position, which will help in the recovery.', 'Immediately recover by driving through the heels, keeping the torso upright and elbows up. Continue until you have risen to a standing position. Return the weight to the boxes for the next rep.'",olympic weightlifting,Clean_from_Blocks,Clean_from_Blocks/0.jpg,Clean_from_Blocks/1.jpg
Conan's Wheel,,intermediate,compound,other,quadriceps,"abdominals, biceps, calves, forearms, lower back, shoulders, traps","'With the weight loaded, take a zurcher hold on the end of the implement. Place the bar in the crook of the elbow and hold onto your wrist. Try to keep the weight off of the forearms.', 'Begin by lifting the weight from the ground. Keep a tight, upright posture as you being to walk, taking short, fast steps. Look up and away as you turn in a circle. Do not hold your breath during the event. Continue walking until you complete one or more complete turns.'",strongman,Conans_Wheel,Conans_Wheel/0.jpg,Conans_Wheel/1.jpg
Decline Close-Grip Bench To Skull Crusher,push,intermediate,compound,barbell,triceps,"chest, shoulders","'Secure your legs at the end of the decline bench and slowly lay down on the bench.', 'Using a close grip (a grip that is slightly less than shoulder width), lift the bar from the rack and hold it straight over you with your arms locked and elbows in. The arms should be perpendicular to the floor. This will be your starting position. Tip: In order to protect your rotator cuff, it is best if you have a spotter help you lift the barbell off the rack.', 'Now lower the bar down to your lower chest as you breathe in. Keep the elbows in as you perform this movement.', 'Using the triceps to push the bar back up, press it back to the starting position as you exhale.', 'As you breathe in and you keep the upper arms stationary, bring the bar down slowly by moving your forearms in a semicircular motion towards you until you feel the bar slightly touch your forehead. Breathe in as you perform this portion of the movement.', 'Lift the bar back to the starting position by contracting the triceps and exhaling.', 'Repeat steps 3-6 until the recommended amount of repetitions is performed.'",strength,Decline_Close-Grip_Bench_To_Skull_Crusher,Decline_Close-Grip_Bench_To_Skull_Crusher/0.jpg,Decline_Close-Grip_Bench_To_Skull_Crusher/1.jpg
Dips - Chest Version,push,intermediate,compound,other,chest,"shoulders, triceps","'For this exercise you will need access to parallel bars. To get yourself into the starting position, hold your body at arms length (arms locked) above the bars.', 'While breathing in, lower yourself slowly with your torso leaning forward around 30 degrees or so and your elbows flared out slightly until you feel a slight stretch in the chest.', 'Once you feel the stretch, use your chest to bring your body back to the starting position as you breathe out. Tip: Remember to squeeze the chest at the top of the movement for a second.', 'Repeat the movement for the prescribed amount of repetitions.'",strength,Dips_-_Chest_Version,Dips_-_Chest_Version/0.jpg,Dips_-_Chest_Version/1.jpg
Double Kettlebell Jerk,push,intermediate,compound,kettlebells,shoulders,"calves, quadriceps, triceps","'Hold a kettlebell by the handle in each hand.', 'Clean the kettlebells to your shoulders by extending through the legs and hips as you pull the kettlebells towards your shoulders. Rotate your wrists as you do so, so that the palms face forward. This will be your starting position.', 'Dip your body by bending the knees, keeping your torso upright.', 'Immediately reverse direction, driving through the heels, in essence jumping to create momentum.', As you do so, press the kettlebells overhead to lockout by extending the arms, using your body's momentum to move the weights., 'Return your feet to the ground in a split fashion, with one foot forward and one foot back.', 'Keeping the weights overhead, return to a standing position, bringing your feet together. Lower the weights to perform the next repetition.'",strength,Double_Kettlebell_Jerk,Double_Kettlebell_Jerk/0.jpg,Double_Kettlebell_Jerk/1.jpg
Downward Facing Balance,static,intermediate,isolation,exercise ball,glutes,"abdominals, hamstrings","'Lie facedown on top of an exercise ball.', 'While resting on your stomach on the ball, walk your hands forward along the floor and lift your legs, extending your elbows and knees.'",strength,Downward_Facing_Balance,Downward_Facing_Balance/0.jpg,Downward_Facing_Balance/1.jpg
Dumbbell Clean,pull,intermediate,compound,dumbbell,hamstrings,"calves, forearms, glutes, lower back, quadriceps, shoulders, traps","'Begin standing with a dumbbell in each hand with your feet shoulder width apart.', 'Lower the weights to the floor by flexing at the hips and knees, pushing your hips back until the dumbbells reach the floor. This will be your starting position.', 'To initiate the movement, violently jump upward by extending the hips, knees, and ankles to acclerate the weights upward. Maintaining a neutral grip on the dumbbells, keep the arms straight until full extension is reached.', 'After full extension, rebend the hips and knees to receive the weight in a squat position. Allow the arms to bend, guiding the dumbbells to your shoulders.', 'Upon receiving the weight in the squat position, extend the hips and knees to finish in a standing position with the weights on your shoulders.'",strength,Dumbbell_Clean,Dumbbell_Clean/0.jpg,Dumbbell_Clean/1.jpg
Dumbbell Lying Pronation,pull,intermediate,isolation,dumbbell,forearms,,"'Lie on a flat bench face down with one arm holding a dumbbell and the other hand on top of the bench folded so that you can rest your head on it.', 'Bend the elbows of the arm holding the dumbbell so that it creates a 90-degree angle between the upper arm and the forearm.', 'Now raise the upper arm so that the forearm is perpendicular to the floor and the upper arm is perpendicular to your torso. Tip: The upper arm should be parallel to the floor and also creating a 90-degree angle with your torso. This will be your starting position.', 'As you breathe out, externally rotate your forearm so that the dumbbell is lifted forward as you maintain the 90 degree angle bend between the upper arms and the forearm. You will continue this external rotation until the forearm is parallel to the floor. At this point you will hold the contraction for a second.', 'As you breathe in, slowly go back to the starting position.', 'Repeat for the recommended amount of repetitions.'",strength,Dumbbell_Lying_Pronation,Dumbbell_Lying_Pronation/0.jpg,Dumbbell_Lying_Pronation/1.jpg
Dumbbell One-Arm Shoulder Press,push,intermediate,compound,dumbbell,shoulders,triceps,"'Grab a dumbbell and either sit on a military press bench or a utility bench that has a back support on it as you place the dumbbells upright on top of your thighs or stand up straight.', 'Clean the dumbbell up to bring it to shoulder height. The other hand can be kept fully extended to the side, by the waist or grabbing a fixed surface.', 'Rotate the wrist so that the palm of your hand is facing forward. This is your starting position.', 'As you exhale, push the dumbbell up until your arm is fully extended.', 'After a second pause, slowly come down back to the starting position as you inhale.', 'Repeat for the recommended amount of repetitions and then switch arms.'",strength,Dumbbell_One-Arm_Shoulder_Press,Dumbbell_One-Arm_Shoulder_Press/0.jpg,Dumbbell_One-Arm_Shoulder_Press/1.jpg
